Type,Brand,Category,Fit,Size,Found,Size_type
Bottoms,Lacoste,Chinos,Regular,,,Numeric
Bottoms,Japan Rags,Jeans,Slim,,,Numeric
Bottoms,Japan Rags,Jeans,Regular,,,Numeric
Bottoms,Scott Blue,Shorts,Regular,,,Categorical
Bottoms,Scott Blue,Chinos,Slim,,,Numeric
Bottoms,Scott Blue,Jeans,Slim,,,Numeric
Bottoms,Scott Blue,Jeans,Skinny,,,Numeric
Bottoms,Scott Blue,Jeans,Regular,,,Numeric
Bottoms,LE COQ SPORTIF,Sweatpants,Slim,,,Categorical
Bottoms,one 90 One,Chinos,Regular,,,Numeric
Bottoms,BLUE MINT,Swim,Regular,,,Categorical
Bottoms,BLUE MINT,Swim,Slim,,,Categorical
Bottoms,BLUE MINT,Shorts,Slim,,,Numeric
Bottoms,AG Jeans,Jeans,Slim,,,Numeric
Bottoms,AG Jeans,Chinos,Slim,,,Numeric
Bottoms,Alternative Apparel,Sweatpants,Carrot,,,Categorical
Bottoms,Alternative Apparel,Sweatpants,Slim,,,Categorical
Bottoms,Alternative Apparel,Chinos,Slim,,,Numeric
Bottoms,Mexx,Casual Trousers,Slim,,,Numeric
Bottoms,Mexx,Jeans,Slim,,,Numeric
Bottoms,Mexx,Jeans,Regular,,,Numeric
Bottoms,ATELIER PRIVE,Chinos,Slim,,,Numeric
Bottoms,SuitSupply,Formal Trousers,Slim,,,Numeric
Bottoms,SuitSupply,Casual Trousers,Slim,,,Numeric
Bottoms,Calvin Klein,Shorts,Slim,,,Numeric
Bottoms,Calvin Klein,Jeans,Slim,,,Numeric
Bottoms,Gym Clothes Company,Shorts,Slim,,,Categorical
