,user_id,user_weight,user_height,user_shirts_fit,user_pants_fit,user_waist_size,user_shirt_size,user_blazer_size,type,brand,category,fit,purchased,reason,size
37748,41517,109.0,173.0,Regular Fit,Regular Fit,40,XL,54,Tops,Scotch & Soda,Blazer,Regular,no,TOO SMALL,XL
37749,41438,95.0,186.0,Slim Fit,Regular Fit,35,L,No idea,Accessories,Happy Socks,Socks,None,yes,,U
37750,41438,95.0,186.0,Slim Fit,Regular Fit,35,L,No idea,Tops,Sacoor,Casual Shirts,Slim,no,TOO BIG,42
37751,41517,109.0,173.0,Regular Fit,Regular Fit,40,XL,54,Tops,Scotch & Soda,Casual Shirts,Regular,yes,,XXL
37752,41514,78.0,168.0,Slim Fit,Slim Fit,33,M,48,Bottoms,Scotch & Soda,Jeans,Slim,no,TOO BIG,33/32
37753,41360,68.0,166.0,Slim Fit,Slim Fit,30,S,No idea,Shoes,Sacoor,Loafers,None,no,TOO SMALL,40
37754,41489,85.0,183.0,Slim Fit,Slim Fit,No Idea,M,52,Tops,Van Gils,Blazer,Slim,yes,,52
37755,18451,80.0,185.0,Slim Fit,Slim Fit,32,M,No idea,Tops,Hackett,Casual Shirts,Slim,yes,I LIKE IT,S
37756,41514,78.0,168.0,Slim Fit,Slim Fit,33,M,48,Bottoms,Scotch & Soda,Chinos,Slim,no,TOO BIG,33/32
37757,31794,83.0,187.0,Slim Fit,Slim Fit,33,M,48,Bottoms,Ralph Lauren,Chinos,Slim,yes,,34/34
37758,41489,85.0,183.0,Slim Fit,Slim Fit,No Idea,M,52,Tops,Claudio Sartore,T-Shirt,None,no,TOO SMALL,M
37759,19213,88.0,188.0,Slim Fit,Slim Fit,33,L,No idea,Bottoms,Scotch & Soda,Chinos,Slim,yes,,33/32
37760,38233,80.0,169.0,Regular Fit,Slim Fit,32,M,No idea,Bottoms,Claudio Sartore,Chinos,Slim,no,TOO SMALL,32
37761,18451,80.0,185.0,Slim Fit,Slim Fit,32,M,No idea,Bottoms,Scotch & Soda,Chinos,Super skinny,yes,TOO BIG,32/34
37762,6148,95.0,173.0,Regular Fit,Slim Fit,39,XL,58,Tops,Sacoor,Casual Shirts,Slim,no,TOO SMALL,XXL
37763,18814,97.0,188.0,Slim Fit,Regular Fit,35,XL,No idea,Tops,Scotch & Soda,Polos,Regular,yes,,XL
37764,18814,97.0,188.0,Slim Fit,Regular Fit,35,XL,No idea,Accessories,Claudio Sartore,Belt,None,yes,,XL
37765,18814,97.0,188.0,Slim Fit,Regular Fit,35,XL,No idea,Bottoms,Scotch & Soda,Chinos,Slim,yes,,34/34
37766,18814,97.0,188.0,Slim Fit,Regular Fit,35,XL,No idea,Tops,Tommy Hilfiger,Casual Shirts,Slim,no,TOO BIG,XL
37767,18814,97.0,188.0,Slim Fit,Regular Fit,35,XL,No idea,Tops,Scotch & Soda,Polos,Regular,no,TOO BIG,XL
37768,23581,90.0,186.0,Regular Fit,Regular Fit,35,L,No idea,Accessories,Scotch & Soda,Belt,None,no,TOO BIG,XL
37769,6148,95.0,173.0,Regular Fit,Slim Fit,39,XL,58,Tops,Ralph Lauren,T-Shirt,Slim,yes,,XXL
37770,6148,95.0,173.0,Regular Fit,Slim Fit,39,XL,58,Tops,Ralph Lauren,Casual Shirts,Slim,yes,,XXL
37771,41421,84.0,183.0,Slim Fit,Slim Fit,32,M,50,Bottoms,Ralph Lauren,Shorts,Comfort,yes,,M
37772,41421,84.0,183.0,Slim Fit,Slim Fit,32,M,50,Tops,Calvin Klein,T-Shirt,Slim,yes,,M
37773,1499,76.0,181.0,Slim Fit,Slim Fit,34,M,44,Tops,Ralph Lauren,Polos,Slim,no,TOO SMALL,S
37774,1499,76.0,181.0,Slim Fit,Slim Fit,34,M,44,Tops,Sacoor,Casual Shirts,Slim,yes,,S
37775,1616,88.0,184.0,Classic Fit,Regular Fit,35,L,,Accessories,Ralph Lauren,Socks,None,yes,,U
37776,1616,88.0,184.0,Classic Fit,Regular Fit,35,L,,Tops,Emporio Armani,T-Shirt,Straight,yes,,L
37777,1616,88.0,184.0,Classic Fit,Regular Fit,35,L,,Accessories,Emporio Armani,Underwear,None,yes,,L
37778,18814,97.0,188.0,Slim Fit,Regular Fit,35,XL,No idea,Tops,Scotch & Soda,Casual Shirts,Slim,yes,,XL
37779,41392,83.0,173.0,Regular Fit,Regular Fit,32,M,No idea,Accessories,Claudio Sartore,Belt,None,yes,,M
37780,41517,109.0,173.0,Regular Fit,Regular Fit,40,XL,54,Tops,Claudio Sartore,Blazer,None,no,TOO SMALL,56
37781,41392,83.0,173.0,Regular Fit,Regular Fit,32,M,No idea,Tops,Scotch & Soda,Casual Shirts,Regular,no,TOO SMALL,L
37782,41489,85.0,183.0,Slim Fit,Slim Fit,No Idea,M,52,Bottoms,Scotch & Soda,Chinos,Slim,yes,,33/32
37783,14791,77.0,177.0,Slim Fit,Regular Fit,34,L,No idea,Tops,Hackett,Casual Shirts,Slim,yes,,M
37784,14791,77.0,177.0,Slim Fit,Regular Fit,34,L,No idea,Bottoms,Hackett,Chinos,Regular,yes,,34
37785,31794,83.0,187.0,Slim Fit,Slim Fit,33,M,48,Bottoms,Ralph Lauren,Shorts,Comfort,no,TOO BIG,34
37786,6148,95.0,173.0,Regular Fit,Slim Fit,39,XL,58,Tops,Scotch & Soda,T-Shirt,Regular,no,TOO SMALL,XXL
37787,14100,70.0,170.0,Slim Fit,Skinny Fit,30,S,No idea,Bottoms,Scotch & Soda,Jeans,None,yes,NOT MY STYLE,30/32
37788,41514,78.0,168.0,Slim Fit,Slim Fit,33,M,48,Tops,Claudio Sartore,Blazer,None,yes,,48
37789,18451,80.0,185.0,Slim Fit,Slim Fit,32,M,No idea,Tops,Hackett,Casual Shirts,Slim,yes,,S
37790,6148,95.0,173.0,Regular Fit,Slim Fit,39,XL,58,Tops,Calvin Klein,Casual Shirts,Regular,no,TOO BIG,XXL
37791,37143,80.0,167.0,Slim Fit,Skinny Fit,33,L,50,Tops,Van Gils,Casual Shirts,Regular,yes,,41
37792,41517,109.0,173.0,Regular Fit,Regular Fit,40,XL,54,Tops,Ralph Lauren,Casual Shirts,Slim,yes,,XXL
37793,41497,87.0,186.0,Slim Fit,Regular Fit,33,L,50,Tops,Scotch & Soda,T-Shirt,Slim,yes,,L
37794,41497,87.0,186.0,Slim Fit,Regular Fit,33,L,50,Tops,Scotch & Soda,Polos,None,yes,,L
37795,41517,109.0,173.0,Regular Fit,Regular Fit,40,XL,54,Tops,Scotch & Soda,Blazer,Slim,no,TOO SMALL,XXL
37796,41307,85.0,171.0,Regular Fit,Slim Fit,36,L,54,Bottoms,Hackett,Chinos,Slim,yes,,36
37797,41307,85.0,171.0,Regular Fit,Slim Fit,36,L,54,Tops,Claudio Sartore,Blazer,None,yes,,54
